名詞,名詞数,動詞,動詞数,形容詞,形容詞数
全部,5,表れる,1.0,,
政治,14,考える,32.0,,
ほう,32,決める,3.0,,
大人,8,ぶつ,2.0,,
頃,9,もらえる,3.0,,
好き,11,逆らう,1.0,,
毎日,1,あげる,3.0,,
メール,1,除く,1.0,,
受信,1,問える,1.0,,
拒否,2,含める,2.0,,
アドレス,1,らっしゃる,1.0,,
友達,4,捨てる,6.0,,
申請,2,残す,3.0,,
承認,2,責める,2.0,,
自民党,6,頂く,3.0,,
日記,1,引く,2.0,,
ネタ,9,持ち上げる,3.0,,
最強,3,踏みにじる,2.0,,
作画,1,おく,3.0,,
電車,1,植え付ける,1.0,,
本,9,遭う,4.0,,
ひとつ,3,切れる,1.0,,
手前,1,乗っかる,3.0,,
駅,1,変わる,8.0,,
ドア,1,言い出す,4.0,,
中,10,気づく,6.0,,
ハンター,6,並べる,2.0,,
再開,4,生じる,4.0,,
漫画,14,生きる,6.0,,
本物,1,生まれる,2.0,,
認定,2,とる,3.0,,
期待,4,成り上がる,1.0,,
本当,6,気取る,3.0,,
ラッキー,1,蔓延る,1.0,,
気持ち,20,振る舞う,1.0,,
暗黒,2,止まる,2.0,,
大陸,1,える,1.0,,
衝撃,1,通じる,4.0,,
割,3,あたる,3.0,,
強火,1,づける,2.0,,
ファン,23,学ぶ,9.0,,
ダム,8,絡める,4.0,,
げんなり,6,負ける,3.0,,
だし,10,消す,4.0,,
愛着,1,動く,3.0,,
愛,3,受け取る,4.0,,
ゆえ,6,歪む,4.0,,
ダメ,13,装う,2.0,,
他人,11,見せかける,2.0,,
前,11,染まる,2.0,,
軍国,1,化す,1.0,,
否認,1,ぶちかます,1.0,,
現実,18,燃やす,1.0,,
主権,1,むす,1.0,,
教育,4,やっかむ,1.0,,
失敗,1,染める,1.0,,
意,3,させる,5.0,,
思想,11,寄り添う,2.0,,
中立,7,傷つける,1.0,,
自民,4,もつ,2.0,,
主張,8,わめく,1.0,,
国,12,謳う,1.0,,
い,10,なりすます,1.0,,
国家,5,掲げる,3.0,,
反日,2,消える,2.0,,
場合,7,投げる,2.0,,
大義,1,貼る,5.0,,
自己,20,塞ぐ,1.0,,
犠牲,1,こじる,1.0,,
不信,1,読める,1.0,,
根底,2,しれる,9.0,,
キャラ,9,過ぎる,5.0,,
適用,3,触る,1.0,,
感じ,25,発す,1.0,,
特定,8,吐く,1.0,,
行為,10,属する,1.0,,
根拠,10,引っかかる,4.0,,
権力,17,聞こえる,1.0,,
作者,3,傷つく,7.0,,
都合,2,勝る,3.0,,
善,1,出くわす,2.0,,
道徳,2,思える,6.0,,
何様,5,括る,1.0,,
俺,15,押し付ける,3.0,,
昔,5,差し支える,1.0,,
意識,18,教える,2.0,,
自意識,6,頂ける,1.0,,
左翼,19,巻き込む,3.0,,
アイデンティティ,3,分ける,2.0,,
人々,4,挙げる,1.0,,
声,7,伝える,2.0,,
特権,14,見せる,4.0,,
ケチ,3,近づく,1.0,,
つけ,2,ありえる,1.0,,
光景,4,切り捨てる,1.0,,
依存,1,見極める,1.0,,
つもり,16,だす,1.0,,
新た,5,凝り固まる,1.0,,
老害,2,併せ持つ,1.0,,
おまえ,1,隠す,2.0,,
ほんと,7,受ける,6.0,,
内輪,3,名乗る,3.0,,
そこ,6,折り込む,1.0,,
ひと,2,湧く,2.0,,
人物,1,差し控える,1.0,,
大衆,2,荒らす,2.0,,
おっさん,9,求める,4.0,,
仕草,3,調べる,2.0,,
ブロック,12,助かる,1.0,,
直接,4,送れる,1.0,,
劇,2,請け負う,1.0,,
作家,4,かむ,3.0,,
一,15,探る,1.0,,
共通,5,宛てる,1.0,,
部分,7,話しかける,3.0,,
共闘,2,暴れる,2.0,,
