名詞,名詞数,動詞,動詞数,形容詞,形容詞数
そのもの,58,落ちる,84.0,いたい,31.0
努力,33,待つ,41.0,図々しい,21.0
成果,7,襲う,25.0,わるい,20.0
環境,42,しまう,1063.0,つまんない,22.0
おかげ,25,阿る,2.0,さむい,59.0
億,38,揺らぐ,3.0,悩ましい,2.0
かい,10,見くびる,1.0,近い,31.0
日本人,100,ひねくれる,11.0,けわしい,1.0
重症,21,積む,62.0,暑い,54.0
うち,231,考える,633.0,おそろしい,40.0
集団,48,割く,7.0,悪しい,6.0
免疫,36,決める,66.0,甚だしい,8.0
獲得,9,しゃべる,111.0,若い,121.0
みたい,1649,こう,18.0,ねむたい,3.0
来年,6,答える,47.0,しおからい,1.0
公務員,26,認める,63.0,あたらしい,5.0
給与,9,書く,192.0,いまわしい,1.0
人事院,9,のりだす,1.0,大きい,33.0
サイト,23,へる,49.0,いたたまれない,8.0
写真,60,疲れる,124.0,寂しい,4.0
国家,48,防ぐ,21.0,熱っぽい,3.0
月給,4,なさる,43.0,上手い,9.0
据え置き,5,呼ぶ,109.0,古い,18.0
説明,125,憤る,3.0,我慢強い,3.0
ため,488,もぎる,1.0,荒い,9.0
水島,2,冷える,20.0,浅い,12.0
僧,2,間違う,84.0,ちかい,7.0
ミャンマー,6,払う,52.0,ダサい,44.0
年,231,歪む,23.0,白っぽい,2.0
姉,121,買い与える,2.0,やむをえない,1.0
中井,4,与える,61.0,珍しい,15.0
貴一,3,寝る,255.0,うすい,6.0
館,52,投げる,42.0,おもい,9.0
レンタル,10,走る,15.0,細かい,55.0
絵文字,7,売る,95.0,汚い,21.0
派,47,枯れる,12.0,めでたい,10.0
やつ,824,届く,32.0,広い,29.0
スキ,25,至る,30.0,恐ろしい,41.0
脳みそ,17,取る,124.0,はやい,13.0
代替,5,ひっこぬく,1.0,分厚い,1.0
テキスト,10,切る,76.0,かわいらしい,2.0
謎,203,読める,76.0,なめい,3.0
機種,2,ついてる,84.0,重たい,13.0
依存,12,動ける,3.0,うさんい,5.0
文字,35,語る,38.0,うつくしい,22.0
マナー,18,貼る,20.0,手厚い,5.0
みんな,519,てらう,1.0,涼しい,5.0
口座,10,ハマる,70.0,腹立たしい,9.0
万,71,劣る,3.0,がたい,17.0
円,110,向く,37.0,弱々しい,1.0
ラブストーリー,5,変える,85.0,温かい,3.0
まみれ,21,謝る,45.0,臭い,12.0
世の中,176,つかれる,107.0,はずかしい,2.0
男女,16,競う,2.0,おぞましい,14.0
恋愛,48,あげる,85.0,たまらない,7.0
ヒップ,10,からむ,3.0,とてつもない,6.0
ホップ,10,びびる,26.0,かくい,4.0
グループ,22,受け取る,39.0,仲良い,3.0
ラブソング,5,立ち上がる,6.0,コワい,2.0
ラブ,21,笑う,172.0,荒々しい,3.0
バラード,2,当てる,8.0,むごい,1.0
人気,41,ちる,131.0,もろい,2.0
ぶっこ,26,際立つ,1.0,やむを得ない,6.0
吉村,7,見上げる,6.0,嬉しい,50.0
松井,3,すすむ,2.0,ものものしい,1.0
橋下,6,借りる,23.0,すがすがしい,4.0
おしまい,39,出会う,10.0,きわどい,1.0
死刑,16,すます,1.0,くろい,3.0
理由,106,逃げる,43.0,醜い,6.0
人事,36,気付く,112.0,清い,6.0
顔,228,慣れる,39.0,苦い,5.0
なん,802,見れる,13.0,善い,2.0
今日,325,上がる,78.0,久しい,4.0
最新,15,のける,3.0,目新しい,2.0
作,38,驚く,39.0,わざとらしい,5.0
水曜,11,覚える,79.0,用心深い,1.0
ひえ,9,しらむ,171.0,脆い,2.0
ごい,45,わきまえる,15.0,あたたかい,3.0
わし,255,困る,185.0,ひろい,12.0
時間,269,悩む,24.0,もどかしい,1.0
流れ,26,履く,38.0,心地よい,7.0
認識,133,つまる,24.0,えげつない,2.0
のち,9,食う,257.0,ずるい,6.0
警察,112,かわく,29.0,冷たい,19.0
学校,28,なくなる,90.0,あやうい,1.0
時期,51,ぼる,35.0,だるい,59.0
一緒,71,売り切れる,5.0,だだっ広い,1.0
月,108,すげる,53.0,気持ちいい,7.0
脳,145,混む,25.0,面倒くさい,4.0
問題,368,買える,60.0,後ろめたい,4.0
週刊,30,ふせる,8.0,幽い,1.0
少年,18,出す,291.0,罪深い,4.0
ジャンプ,26,バレる,43.0,気持ち良い,2.0
マンガ,131,操る,2.0,耐えがたい,11.0
長期,7,隠れる,68.0,むなしい,10.0
連載,40,かつ,19.0,痛ましい,3.0
作中,22,落ち着く,38.0,美味しい,2.0
せい,264,やく,17.0,危うい,10.0
勝手,126,続ける,160.0,痛々しい,5.0
家族,152,出来上がる,8.0,しろい,4.0
設定,67,偏る,16.0,気安い,2.0
結婚,78,分かれる,6.0,苦しい,25.0
主人,5,ふる,36.0,やんごとない,8.0
様,97,話す,102.0,恐れ多い,1.0
だめ,256,作る,319.0,かゆい,17.0
年齢,51,集まる,8.0,険しい,3.0
女,317,飛びつく,3.0,いかつい,8.0
夫,56,見下す,27.0,かっこよい,13.0
はず,211,くすぐる,2.0,薄い,39.0
確率,8,訛る,6.0,汚らしい,2.0
営業,21,募る,5.0,あさましい,1.0
トーク,11,括る,5.0,はしたない,3.0
感覚,110,抑える,25.0,カッコイー,3.0
バグ,8,怒る,111.0,注意深い,3.0
ひとり,87,きく,39.0,あやしい,9.0
家具,4,つっこむ,9.0,懐かしい,4.0
買い,12,好む,21.0,たかい,2.0
奥様,4,辞める,85.0,丸い,7.0
お子様,7,残る,61.0,相応しい,1.0
後,113,吐く,69.0,みずみずしい,2.0
僕,14,閉める,13.0,すい,15.0
独身,7,くっつく,53.0,明るい,22.0
志摩,245,向かう,50.0,忙しい,13.0
ふたり,32,呟く,6.0,畏れ多い,2.0
店員,15,ひらく,3.0,羨ましい,2.0
いぶ,5,聞こえる,28.0,鋭い,9.0
しま,46,読み解く,4.0,華々しい,1.0
マットレス,1,ふえる,4.0,軽々しい,2.0
伊吹,224,行う,90.0,奥ゆかしい,2.0
ショック,36,まくる,177.0,極まりない,6.0
今,552,しむ,15.0,言うまでもない,14.0
直,3,広がる,18.0,黒い,5.0
ベッド,6,戻す,24.0,輝かしい,1.0
引っ越し,10,止む,1.0,速い,12.0
大変,96,嫌う,81.0,果てしない,3.0
楽,52,引っかかる,40.0,きつい,7.0
屋,75,なれる,67.0,貧しい,14.0
あれこれ,10,向き合う,47.0,黄色い,5.0
物色,1,垂れる,12.0,親しい,4.0
控えめ,15,変わる,134.0,しげい,2.0
キングサイズ,1,決まる,54.0,古めかしい,1.0
二,330,言わす,6.0,さもしい,2.0
そう,745,宥める,1.0,疎い,1.0
値段,21,すごす,3.0,著しい,3.0
以上,99,飲み込める,8.0,生々しい,4.0
いぶき,37,疑う,52.0,ったらしい,4.0
説,29,訴える,22.0,よろしい,15.0
劇,50,かける,212.0,おおい,4.0
中,426,響く,16.0,かしこい,9.0
半ば,7,ける,20.0,薄汚い,3.0
警察官,22,釣る,7.0,生暖かい,1.0
風貌,2,動く,30.0,あさい,3.0
世界,240,つきあう,14.0,しんぼうづよい,1.0
造作,1,黙る,50.0,情けない,3.0
同様,5,許す,171.0,卑しい,3.0
衣装,9,読み返す,19.0,ふさわしい,5.0
ふく,9,もらう,215.0,切ない,7.0
こだわり,5,かかる,106.0,固い,11.0
カバン,17,離す,6.0,せまい,2.0
時計,29,止まる,34.0,あざとい,1.0
もの,1149,すむ,27.0,いとしい,3.0
スポーツ,70,かう,38.0,か弱い,1.0
ウェア,10,戻せる,7.0,虚しい,9.0
指,31,着こなせる,2.0,心強い,4.0
だいじょうぶ,4,戸惑う,7.0,ふてぶてしい,2.0
セクハラ,18,追っかける,9.0,気強い,1.0
現実,124,おう,22.0,難い,3.0
結果,79,いとう,1.0,好ましい,6.0
こちら,14,喜ぶ,71.0,ええ,18.0
製品,7,透ける,5.0,ごつい,3.0
セパレート,1,打ち解ける,3.0,かたじけない,2.0
まじ,113,かちあう,1.0,みじかい,2.0
半分,15,償う,6.0,たらしい,14.0
カオス,16,働く,113.0,よしない,8.0
大名,4,途切れる,2.0,若々しい,2.0
小鼻,1,ほる,74.0,くみしやすい,1.0
マスク,176,つながる,37.0,いやらしい,2.0
気,1000,辿る,1.0,青白い,1.0
職場,135,ぶち込む,1.0,わびしい,1.0
おっさん,182,描ける,44.0,見づらい,3.0
鼻柱,1,ホレる,5.0,甘ったるい,5.0
傷,52,流れる,50.0,やわらかい,3.0
本人,138,消える,38.0,濃い,12.0
否定,122,つける,213.0,塩辛い,1.0
限り,32,重ねる,7.0,この上ない,1.0
状態,122,もむ,9.0,まだるっこい,1.0
カギ,5,飛ぶ,33.0,やかましい,2.0
絶対,132,きめる,23.0,まぎらわしい,1.0
バージョン,5,過ごす,17.0,清々しい,4.0
的,1442,ねる,45.0,ままならない,2.0
アリ,40,まう,7.0,かよわい,1.0
事情,20,しる,55.0,とうとい,5.0
逆,53,倒す,36.0,丸っこい,1.0
笑,90,ズレる,34.0,四角い,2.0
最高,101,いむ,21.0,まぶしい,2.0
青二才,4,湧く,18.0,薄暗い,2.0
先生,99,す,32.0,物珍しい,1.0
友情,5,ものいう,4.0,やるせない,3.0
三,253,ほほえむ,2.0,快い,5.0
代目,4,差し出す,12.0,手酷い,1.0
えり,4,もらえる,62.0,疑わしい,3.0
たん,46,押さえる,3.0,涙ぐましい,2.0
ベビー,2,産める,4.0,ゆるい,20.0
誕生,30,裏切る,7.0,拙い,1.0
公表,6,見逃す,7.0,厚い,17.0
め,80,求める,224.0,しぶい,2.0
ムード,39,のさばる,16.0,生易しい,1.0
一色,3,飲む,181.0,だいじない,2.0
わけ,712,ゆく,45.0,かなしい,9.0
立ち,14,がんばれる,5.0,仰々しい,3.0
位置,35,絡む,39.0,緩い,1.0
キャラ,102,える,103.0,ていたい,1.0
感じ,482,めでる,1.0,のろい,1.0
他,122,勝つ,32.0,暖かい,2.0
わり,149,うる,47.0,息苦しい,9.0
阿鼻叫喚,4,すう,4.0,わかい,1.0
地獄,86,がる,103.0,差し出がましい,3.0
プライベート,7,かみしめる,6.0,すばらしい,4.0
法律,22,通る,62.0,のっぴきならない,5.0
婚,24,壊れる,20.0,きたない,3.0
選択,46,立てる,26.0,手ごわい,1.0
進歩,13,動かす,14.0,どぎつい,1.0
考え,41,痛める,4.0,荒っぽい,4.0
すてき,18,くっつける,17.0,粘い,1.0
明日,108,備える,3.0,ナウい,3.0
視聴,35,感じる,185.0,女らしい,4.0
チャーミング,13,早まる,3.0,古くさい,1.0
だに,1,怯える,15.0,誇らしい,6.0
職,20,思い知らす,2.0,悔しい,3.0
気さく,4,盛り上がる,26.0,ともい,1.0
さ,839,舐める,11.0,毛頭ない,2.0
敬遠,3,そむ,30.0,おそい,1.0
自覚,101,損する,6.0,鈍い,4.0
アクション,6,立つ,49.0,しおらしい,3.0
音痴,2,あう,29.0,恥い,2.0
敵,44,みえる,5.0,歯痒い,1.0
地味,21,萌える,41.0,色っぽい,2.0
ところ,421,惚れる,6.0,はげしい,1.0
聖,6,むく,15.0,生ぬるい,4.0
剣,15,苦しむ,36.0,泥臭い,2.0
幻,10,癒す,3.0,なにげない,9.0
水,76,癒える,3.0,せつない,4.0
スコット,5,負う,16.0,重苦しい,3.0
邪悪,80,捕まる,11.0,まわりくどい,1.0
軍団,9,見つかる,19.0,ふとい,5.0
銀河,7,起こる,40.0,つめたい,3.0
ヒッチハイク,7,すく,15.0,男らしい,12.0
ガイド,7,かいくぐる,2.0,からい,1.0
ノリ,27,増える,92.0,うるわしい,3.0
パンク,25,くるむ,2.0,硬い,5.0
侍,27,相次ぐ,13.0,太い,3.0
大好き,132,従う,36.0,ふかい,2.0
人身,6,やらかす,63.0,回りくどい,2.0
事故,51,繰り返す,29.0,愛しい,2.0
謹慎,2,あがく,2.0,柔らかい,5.0
しのぶ,1,離れる,49.0,手強い,1.0
忍,6,注ぐ,5.0,くだらない,4.0
かお,6,言える,122.0,遠慮ない,1.0
思い出,10,作り上げる,7.0,おこがましい,2.0
しかた,47,受け止める,30.0,むずかしい,2.0
みや,2,向ける,41.0,なまぬるい,1.0
ら,213,引く,70.0,末永い,1.0
頻繁,2,揉める,13.0,睦まじい,2.0
交通,16,売れる,19.0,淡い,3.0
