総使用日数,1804.0
総投稿数,6599.0
総文字数,508277.0
投稿数/一日,3.66
文字数/一日,281.75
文字数/一投稿,77.02
ポジティブ投稿数,4997.0
ネガティブ投稿数,1597.0
