名詞,名詞数,動詞,動詞数,形容詞,形容詞数
工兵,35,くださる,388.0,いい,1579.0
さん,4051,がんばる,66.0,すごい,893.0
概念,133,言える,144.0,恥ずかしい,53.0
かた,56,とく,126.0,あさい,4.0
今朝,53,やる,1340.0,ものすごい,185.0
朝,175,バレる,48.0,ない,3662.0
英語,73,思う,4833.0,分厚い,17.0
作文,2,受ける,172.0,細い,33.0
練習,43,わかる,1378.0,ずるい,13.0
自己,184,いう,1809.0,多い,513.0
主張,61,飛び散る,3.0,古い,136.0
台風,20,はりつける,2.0,良い,1094.0
だい,18,あける,15.0,高い,169.0
単位,10,おく,215.0,大きい,275.0
今回,309,配る,7.0,こわい,58.0
風圧,5,弱まる,2.0,近い,186.0
的,2410,違う,478.0,早い,304.0
養生,6,潰す,21.0,強い,281.0
防止,7,備える,25.0,危うい,19.0
タオル,14,限る,65.0,おっきい,1.0
遮光,4,知る,894.0,忙しい,43.0
カーテン,6,吹き込む,3.0,おもしろい,67.0
固定,44,くる,2246.0,よい,499.0
室内,17,買い込む,4.0,新しい,143.0
外,108,どく,16.0,素晴らしい,120.0
圧力,15,締め切る,3.0,まるい,3.0
差,76,役立つ,46.0,尊い,24.0
均衡,4,みる,860.0,むずかしい,20.0
ため,741,すぎる,865.0,おかしい,121.0
換気,3,困る,61.0,めんどくさい,20.0
用,132,飛ぶ,43.0,少ない,76.0
窓,19,報う,25.0,ふさわしい,18.0
これ,1634,住む,61.0,嬉しい,320.0
ベランダ,3,できる,1301.0,可愛い,376.0
室外,2,落ちる,186.0,面白い,342.0
機,35,増す,35.0,難しい,146.0
ゴミ箱,2,防げる,3.0,うまい,177.0
気,1032,送る,68.0,物凄い,27.0
洗濯,19,出る,1205.0,っぽい,314.0
物,139,見える,418.0,若い,206.0
落下,2,見る,2338.0,ほしい,370.0
ネット,27,建つ,2.0,かわいい,273.0
補強,23,読める,181.0,まずい,26.0
勢力,31,絞る,16.0,ゆかしい,2.0
そう,1448,持たす,4.0,寂しい,89.0
不穏,20,経つ,48.0,優しい,135.0
さ,1447,たつ,38.0,怖い,153.0
普段,93,閉める,6.0,正しい,41.0
イベント,183,無くなる,27.0,悲しい,112.0
朝風呂,4,直す,120.0,可愛らしい,7.0
オススメ,22,分ける,40.0,暑い,18.0
私,1065,抱える,76.0,苦い,13.0
ほんと,116,寝る,409.0,美しい,207.0
的確,17,せる,846.0,にくい,132.0
逆,126,さばく,1.0,つらい,154.0
食,58,取る,190.0,ぽい,217.0
水,73,よる,76.0,悪い,205.0
あと,956,切り替わる,9.0,ぶ厚い,1.0
雨風,1,伺う,23.0,こい,21.0
とき,492,重ねる,84.0,うい,78.0
対策,31,なくなる,109.0,細長い,1.0
雑巾,1,生きる,376.0,安い,36.0
貴重,13,萌える,56.0,激しい,57.0
品,85,きく,88.0,辛い,335.0
避難,6,考える,957.0,白い,49.0
売り切れ,6,笑う,122.0,欲しい,660.0
間,258,仕留める,4.0,小さい,89.0
カップ,14,振れる,7.0,宜しい,21.0
麺,13,ついてる,42.0,いたい,12.0
セット,70,囲む,13.0,ややこしい,62.0
ボンベ,1,もえる,1.0,痛い,55.0
部屋,59,増える,121.0,がたい,29.0
カセット,1,言う,1756.0,青い,30.0
コンロ,2,帰る,118.0,ありがたい,138.0
イヤ,22,見直す,64.0,やさしい,23.0
ギリギリ,70,描く,2117.0,重い,125.0
ところ,1191,思い出す,400.0,力強い,15.0
テープ,7,称する,1.0,イイ,55.0
情報,234,出来上がる,9.0,詳しい,78.0
他,348,倒れる,28.0,ええ,8.0
方,1342,出す,512.0,弱い,109.0
拝見,103,開く,85.0,苦しい,35.0
低層,1,のく,12.0,やすい,233.0
階,20,でる,338.0,汚い,9.0
家屋,8,やめる,174.0,明るい,23.0
絶対,112,かる,13.0,楽しい,250.0
有効,7,いく,843.0,眠い,53.0
時,1014,納まる,4.0,深い,219.0
苦労,25,まざる,4.0,細かい,106.0
わたし,491,狂う,50.0,図太い,1.0
代,105,こじらせる,16.0,薄い,93.0
半ば,38,倒せる,1.0,済まない,11.0
年,736,抱く,120.0,しつこい,20.0
木造,6,出来る,43.0,虚しい,9.0
ころ,112,落ち着く,65.0,臭い,13.0
雨戸,2,覚める,35.0,づらい,8.0
鎧戸,2,ふれる,2.0,はやい,37.0
みたい,790,振る,36.0,凄い,101.0
もの,1815,始める,161.0,黒い,24.0
父,267,戻る,205.0,かたい,5.0
木材,5,のむ,4.0,よろしい,48.0
まとめ,79,負ける,47.0,遠慮ない,4.0
飛来,4,張る,31.0,厚い,18.0
ガラス,12,推す,437.0,美味しい,82.0
破壊,45,聴く,85.0,数少ない,12.0
高層,2,震える,30.0,長い,219.0
住宅,10,書く,603.0,久しい,1.0
場合,201,す,39.0,興味深い,32.0
問題,380,頂く,37.0,寒い,41.0
十字,17,見せる,138.0,物珍しい,1.0
弱点,13,いただける,80.0,難い,30.0
強度,3,変わる,372.0,人間らしい,2.0
程度,70,しまう,1823.0,遅い,70.0
危険,64,感じる,435.0,甘い,78.0
二,833,はう,7.0,しんどい,83.0
念,31,行く,780.0,面倒くさい,8.0
フォロー,56,頑張る,218.0,軽い,55.0
無事,44,めぐる,18.0,たまらない,10.0
可能,222,読み返す,168.0,凄まじい,34.0
性,734,気づく,63.0,うれしい,69.0
確か,137,かける,325.0,ボロい,2.0
被害,57,忘れる,208.0,仰々しい,1.0
国営,9,やれる,57.0,厳しい,74.0
放送,128,く,441.0,からい,3.0
拡散,15,はむ,6.0,ひどい,92.0
大騒ぎ,1,飲む,102.0,もったいない,14.0
目,505,呑む,10.0,広い,34.0
あまり,68,貯める,2.0,ゆるい,20.0
体調,29,死ぬ,408.0,でかい,58.0
不良,17,ためす,7.0,暗い,29.0
テレビ,68,まつ,11.0,上手い,46.0
今日,559,買う,621.0,世知辛い,13.0
買い出し,11,分かる,150.0,怪しい,20.0
整理,93,巻き込む,54.0,せちがらい,1.0
感じ,728,いただく,269.0,おいしい,28.0
うち,303,読む,1542.0,思しい,20.0
鉄筋,2,押さえる,12.0,濃い,57.0
傾斜地,1,とどめる,8.0,遠い,66.0
家,321,混ざる,55.0,赤い,39.0
裏,58,られる,1159.0,おしい,28.0
滝,5,あげる,154.0,あやうい,5.0
それ,1339,涙す,16.0,清い,8.0
向き,24,倒す,20.0,恐ろしい,25.0
西,24,つっ伏す,1.0,ながい,4.0
どっち,90,ちゃう,560.0,わるい,6.0
微妙,47,いける,228.0,速い,48.0
食料,12,拗る,15.0,あまい,1.0
備蓄,2,腐る,92.0,羨ましい,36.0
焦点,6,拗れる,1.0,うるさい,7.0
保冷,4,いたす,67.0,かっこいい,130.0
剤,26,流す,81.0,やるせない,6.0
山,133,まとめる,161.0,ちょろい,4.0
停電,6,述べる,29.0,感慨深い,14.0
冷蔵庫,19,目指す,31.0,きつい,19.0
東日本,6,持つ,586.0,ぼろい,1.0
震災,8,ちる,137.0,酷い,27.0
ストック,12,うる,105.0,かっこよい,19.0
災害,10,かんじる,190.0,珍しい,40.0
大国,21,ふる,75.0,親しい,15.0
何,810,ふう,11.0,味わい深い,10.0
ごろ,69,通す,51.0,熱い,57.0
幼少,15,吊るす,4.0,つよい,7.0
親,138,生まれる,97.0,めずらしい,7.0
ドラえもん,5,作る,592.0,荒い,9.0
初期,83,使う,393.0,おとなしい,5.0
表現,214,ぶん投げる,4.0,偉い,14.0
頃,387,覚える,109.0,憎い,19.0
サッシ,1,足りる,61.0,毛深い,9.0
パターン,85,開ける,28.0,幼い,25.0
タイミング,79,懐く,3.0,気持ちよい,5.0
話,2262,おこす,2.0,おおい,13.0
本,996,呟く,76.0,するどい,1.0
オタク,199,現れる,96.0,あやしい,7.0
紙,283,申し上げる,12.0,切ない,35.0
命,47,調べる,137.0,寒々しい,1.0
引っ越し,37,返せる,5.0,あたたかい,1.0
別,207,漂う,22.0,危ない,30.0
意味,586,溜める,9.0,あざとい,7.0
頭,247,つる,21.0,頼もしい,4.0
秒,7,おとす,2.0,さみしい,6.0
絶命,6,行ける,52.0,ダサい,3.0
切り,23,わける,24.0,えらい,27.0
替わり,2,拾う,23.0,すさまじい,3.0
手際,4,回る,58.0,いみい,3.0
ちゃん,1684,かねる,28.0,薄暗い,5.0
本物,18,着る,106.0,ちっさい,4.0
ツボ,20,履く,14.0,有難い,17.0
ハンティング,2,聞く,363.0,男らしい,10.0
研修,3,見当たる,7.0,ちいさい,8.0
女性,234,思い出せる,22.0,狭い,22.0
コト,9,萎びる,1.0,暖かい,14.0
前,787,炒める,11.0,でっかい,13.0
かわいそう,42,食う,99.0,しょうもない,4.0
躊躇,16,がる,79.0,うさんくさい,3.0
後,558,しぬ,7.0,悩ましい,14.0
サンプル,78,起きる,205.0,くろい,3.0
参加,160,入る,537.0,懐かしい,35.0
回,485,食べる,286.0,悔しい,8.0
身,110,上げる,60.0,回りくどい,3.0
界,33,尽くす,23.0,喜ばしい,5.0
男性,171,のる,77.0,やばい,58.0
ここ,717,かむ,53.0,くい,29.0
獲物,22,さわる,1.0,短い,39.0
ただ,35,落とせる,1.0,温かい,5.0
食材,21,いれる,17.0,好ましい,6.0
そこ,555,緩む,3.0,鈍い,12.0
中,931,重なる,52.0,あつい,4.0
近所,29,ます,6.0,四角い,4.0
コンビニ,46,浮かぶ,74.0,丸い,23.0
先日,41,合わせる,116.0,のっぴきならない,4.0
処理,29,来る,422.0,すっごい,29.0
最初,228,引っ張る,50.0,名高い,4.0
やる気,29,蒸す,7.0,くさい,29.0
男女,48,疲れる,82.0,生々しい,16.0
適性,3,叩きつける,7.0,低い,50.0
選抜,2,ハマる,98.0,無い,35.0
性差,8,耐える,66.0,太い,52.0
そっち,49,残る,174.0,何気ない,5.0
個性,40,買える,49.0,うらやましい,7.0
ちゃ,55,探す,146.0,見よい,2.0
キロ,1908,会う,66.0,ちっちゃい,10.0
嫁,113,しれる,569.0,すばらしい,21.0
ソフィア,661,あう,43.0,やむを得ない,2.0
不可欠,2,殺す,319.0,勇ましい,2.0
理由,222,勤める,3.0,鋭い,12.0
秋,28,終える,60.0,粘い,6.0
絵,965,歌う,61.0,悪しい,2.0
素敵,138,かう,34.0,誇らしい,1.0
山神,5,づく,8.0,やかましい,10.0
もち,20,くびれる,3.0,印象深い,20.0
自分,1061,守る,115.0,渋い,10.0
昼間,24,引き離す,4.0,有り難い,8.0
予定,120,させる,105.0,疑わしい,2.0
ツイ,191,居る,24.0,堅い,7.0
廃,5,抜ける,69.0,数多い,3.0
気味,60,学ぶ,44.0,おもろい,5.0
口数,2,馴染む,10.0,ちかしい,1.0
独り言,6,保つ,18.0,大人しい,6.0
代わり,53,願う,20.0,惜しい,22.0
帰り,27,乗り移る,2.0,だるい,7.0
おのれ,11,癒す,41.0,あっけない,1.0
タンブラー,3,許す,116.0,おそろしい,4.0
やつ,380,凌ぐ,4.0,黒っぽい,2.0
たん,36,作れる,49.0,えぐい,7.0
服,103,適す,2.0,かわいらしい,3.0
デザイン,132,揺れる,36.0,歯痒い,4.0
清,27,免れる,7.0,潔い,3.0
帝国,60,つける,288.0,険しい,1.0
ルーツ,39,もらえる,91.0,おそい,4.0
満州,48,かかる,192.0,すい,9.0
族,41,悩む,75.0,貧しい,15.0
オホーツク,12,打つ,43.0,鬱陶しい,2.0
ライナー,4,放つ,11.0,呆気ない,1.0
あたり,334,まくる,130.0,角い,1.0
マージ,1,割り切れる,14.0,やむない,7.0
