名詞,名詞数,動詞,動詞数,形容詞,形容詞数
頭部,3,諦める,40.0,苦い,2.0
夏,66,食らう,6.0,空恐ろしい,3.0
オオサカ,12,覚える,105.0,悪しい,3.0
イサム,798,歌う,126.0,幼い,13.0
オモト,17,喋る,84.0,清い,1.0
再版,67,変わる,189.0,気高い,3.0
入荷,21,合わせる,44.0,目まぐるしい,2.0
今後,39,似合う,83.0,さり気無い,9.0
予定,109,憧れる,38.0,浅い,8.0
月,324,真似る,2.0,だらし無い,5.0
部数,10,噛み締める,16.0,敢え無い,1.0
アダム-Adam,69,生まれる,37.0,恋しい,5.0
肋骨,20,生む,17.0,惜しい,6.0
返却,4,吹く,9.0,固い,20.0
申し込み,13,切れる,52.0,こそばゆい,2.0
無理,208,萌える,74.0,尊い,9.0
御免,114,寝込む,5.0,程良い,10.0
絵,238,嗅ぐ,12.0,腑甲斐無い,2.0
びっくり,155,望む,19.0,罪深い,3.0
雰囲気,101,直る,22.0,緩い,12.0
饂飩,12,死ぬ,275.0,手厚い,8.0
サラ-salary,6,始まる,95.0,きつい,41.0
飯,16,知れる,504.0,余所余所しい,1.0
番組,35,与える,23.0,やんごとない,1.0
配信,92,滅びる,6.0,鈍い,10.0
世界,200,助かる,47.0,烏滸がましい,3.0
原稿,305,冴える,4.0,近しい,3.0
応援,53,暮らす,56.0,黄色い,3.0
天気,29,蒼む,1.0,喜ばしい,2.0
散歩,43,迷う,43.0,嫌らしい,7.0
今朝,93,着る,165.0,くどい,1.0
デビッド-David,24,擦る,37.0,しつこい,5.0
ボウイ-Bowie,5,伝わる,26.0,空しい,4.0
デート-date,17,褒める,67.0,貧しい,8.0
夢,157,解す,8.0,いとおしい,14.0
スーパー-super,50,読む,1248.0,後ろ暗い,2.0
欲望,34,飼う,81.0,痛ましい,2.0
一心,5,掻く,38.0,薄暗い,3.0
ミニスカート-miniskirt,1,見せる,92.0,気怠い,3.0
我慢,24,掴む,22.0,物悲しい,4.0
ジャガ芋,13,掛かる,125.0,生々しい,5.0
ワイン-wine,11,挟まる,6.0,脆い,4.0
ビネガー-vinegar,5,紡ぐ,3.0,洒落臭い,2.0
春菊,11,負ける,27.0,蒸し暑い,2.0
パスタ-pasta,31,隠れる,37.0,えげつない,4.0
今,981,愛する,100.0,気恥ずかしい,5.0
シルバー-外国,5,追う,43.0,腹立たしい,2.0
ニア-near,1,演ずる,99.0,平たい,6.0
全力,6,勝つ,11.0,気まずい,5.0
ページ-page,75,戻る,71.0,親しい,3.0
ペン-pen,57,表わす,17.0,かったるい,1.0
終わり,97,亡くす,7.0,もどかしい,5.0
表紙,95,失う,18.0,仕方無い,14.0
ゆとり,34,収まる,16.0,気安い,2.0
御負け,28,呻く,5.0,手早い,1.0
漫画,420,思い込む,16.0,ぎこちない,5.0
不安,128,行う,26.0,うざい,6.0
尾,648,考え直す,4.0,如何わしい,1.0
大型,4,芽生える,5.0,可愛らしい,7.0
犬,339,学ぶ,30.0,憎い,8.0
弟,146,差す-他動詞,23.0,華々しい,2.0
川,67,残る,29.0,馬鹿馬鹿しい,1.0
欲求,7,焼き付く,2.0,縁遠い,1.0
餅,18,忘れる,214.0,目敏い,1.0
時々,110,叫ぶ,43.0,恨めしい,2.0
兄弟,182,殴る,11.0,荒々しい,1.0
口,59,焼く,94.0,凛々しい,2.0
手足,11,増す,7.0,望ましい,2.0
怪物,8,悶える,2.0,きしょい,1.0
二人,198,打っ掛ける,2.0,心苦しい,1.0
祝福,30,滅する,1.0,等しい,2.0
子供,160,倒れる,22.0,いじましい,1.0
解釈,43,問い合わせる,3.0,素っ気ない,3.0
最近,285,続ける,108.0,生温い,1.0
呪い,20,生き返る,7.0,頼り無い,1.0
結論,21,払う,44.0,物珍しい,1.0
其々,33,拭く,55.0,痛々しい,5.0
家,221,入る,358.0,痒い,13.0
親,39,直す,59.0,誇らしい,4.0
涙,37,飽きる,34.0,泥臭い,1.0
セキヤ,12,鏤める,3.0,心許ない,6.0
同人,126,縫う,3.0,心強い,3.0
感想,185,捻る,2.0,情けない,14.0
方,687,縒れる,8.0,きな臭い,1.0
プレタ-pret-a,1,混む,14.0,ねちっこい,1.0
マンジェ,1,起きる,138.0,小狡い,1.0
アクター-actor,1,触る,52.0,微笑ましい,4.0
スタジオ-studio,2,冷える,15.0,軟らかい,8.0
鱈,3,無くなる,72.0,乏しい,1.0
船,8,窶す,2.0,逞しい,3.0
所,826,温める,13.0,険しい,2.0
後ろ,13,続く,69.0,丸っこい,4.0
タイタニック-titanic,12,零す,5.0,賢い,12.0
本真,10,絡める,7.0,丸い,6.0
実際,66,選ぶ,74.0,根強い,1.0
方向,42,敷く,7.0,禍々しい,4.0
そつ,4,増える,61.0,細かい,11.0
全体,31,終える,12.0,呆気ない,2.0
良し,44,供える,4.0,図太い,1.0
明日,380,まびく,1.0,恐れ多い,5.0
針金,14,殺す,52.0,雑い,4.0
外し,1,畳む,5.0,目新しい,2.0
儀,3,明かす,18.0,酸っぱい,1.0
出勤,27,示す,15.0,快い,1.0
泊まり込み,1,決まる,55.0,おどろおどろしい,2.0
溜め息,3,爆ぜる,1.0,頼もしい,2.0
麻酔,17,起こる,54.0,茶色い,4.0
バブ,16,話す,120.0,醜い,3.0
今回,65,余る,8.0,面白おかしい,1.0
先,98,いらっしゃる,72.0,ぼろい,1.0
購入,67,捨てる,54.0,香しい,1.0
テクスチャー-texture,25,上げる,242.0,後ろめたい,2.0
風,33,落ち着く,134.0,待ち遠しい,2.0
訳,222,作り上げる,3.0,容易い,1.0
全部,269,固める,5.0,そそっかしい,2.0
本当,882,決める,88.0,聡い,2.0
上,194,取り組む,8.0,曇り無い,4.0
真ん中,11,捲る,132.0,見窄らしい,2.0
色味,5,撓う,1.0,ちょろい,3.0
一緒,304,好く,66.0,平べったい,1.0
コーティング-coating,2,語る,89.0,愚かしい,1.0
グロス-外国,1,然り,15.0,息苦しい,1.0
グロス-gross,2,駆け込む,8.0,覚束無い,1.0
タッチ-touch,17,分かり合う,4.0,むず痒い,1.0
血液,8,切る,120.0,止む無い,1.0
血糊,5,立つ,63.0,勇ましい,2.0
