名詞,名詞数,動詞,動詞数,形容詞,形容詞数
気持ち,178,引き受ける,31.0,楽しい,85.0
両親,8,導き出す,3.0,よろしい,28.0
自分,1334,耐える,17.0,よい,353.0
ごと,35,られる,1069.0,ない,1510.0
上,245,くる,1869.0,紛らわしい,4.0
最善,2,信じる,239.0,ほしい,166.0
落とし,11,見る,688.0,うれしい,5.0
所,50,喋る,49.0,強い,235.0
男,384,聞く,169.0,重い,33.0
月島,3001,考える,298.0,厳しい,57.0
屈強,10,しまう,781.0,いい,712.0
さ,1325,読む,456.0,近い,54.0
複雑,90,できる,801.0,少ない,40.0
痛み,100,せる,813.0,易い,5.0
単純,30,行く,269.0,しんどい,51.0
答え,38,わかる,497.0,すごい,141.0
思い,36,いただく,75.0,甘い,75.0
おれ,991,馳せる,8.0,狭い,31.0
基,88,参じる,1.0,嬉しい,57.0
心,195,いう,484.0,おかしい,39.0
話,657,合う,93.0,高い,104.0
先,256,出る,333.0,たくましい,1.0
夢,38,いく,1222.0,上手い,38.0
シリーズ,16,吹き飛ばす,1.0,いとしい,2.0
人,1314,向ける,149.0,細い,10.0
フォロー,25,頑張る,72.0,遅い,50.0
外,41,思う,1717.0,早い,72.0
歓迎,9,もらう,131.0,味わい深い,6.0
参加,114,刷る,8.0,深い,69.0
条件,30,おく,128.0,イイ,6.0
熱意,2,入る,173.0,やすい,83.0
赤,5,やる,476.0,すさまじい,3.0
ブー,5,含める,63.0,恐ろしい,18.0
延期,2,いただける,20.0,ややこしい,21.0
全体,44,動く,82.0,眩しい,12.0
的,1635,与える,121.0,正しい,51.0
しょ,2,ねむる,1.0,遠い,24.0
モード,13,ふる,113.0,暖かい,3.0
中,616,待つ,78.0,さみしい,2.0
空気,27,貼る,24.0,心地よい,8.0
配信,69,付ける,67.0,やばい,51.0
届け,11,来る,312.0,やるせない,8.0
よう,1386,書く,207.0,長い,48.0
希望,50,握る,11.0,苦しい,66.0
現地,16,座る,11.0,良い,107.0
意味,123,置く,195.0,悪い,143.0
誤解,17,始まる,62.0,渋い,6.0
気,394,言う,693.0,くい,19.0
声,77,気付く,63.0,美味しい,7.0
かけ,5,止まる,27.0,大きい,103.0
あと,238,休む,7.0,くろい,15.0
鍵,25,描く,646.0,恥ずかしい,8.0
垢,33,持つ,505.0,ありがたい,39.0
どなた,5,抱える,63.0,軽い,55.0
場合,67,奮い立つ,2.0,心苦しい,1.0
オープン,8,く,337.0,うまい,21.0
プリーズ,1,立つ,112.0,低い,41.0
こんばんは,2,甘やかす,5.0,ぽい,13.0
会,126,捨てる,57.0,怖い,84.0
興味,23,もつ,64.0,ひどい,17.0
いかが,17,背負う,45.0,がたい,17.0
反応,90,認める,45.0,危ない,33.0
確認,104,しれる,260.0,短い,12.0
どこ,143,踏まえる,34.0,多い,88.0
巻,174,減らす,15.0,激しい,12.0
肝心,4,考えつく,2.0,危うい,105.0
ところ,756,組み立てる,22.0,弱い,46.0
曖昧,19,引き継ぐ,8.0,毒々しい,1.0
がち,42,見える,307.0,寂しい,9.0
実現,17,湧く,25.0,潔い,18.0
本,143,続く,36.0,素晴らしい,32.0
購入,13,組み立る,8.0,いやらしい,8.0
数,106,直す,52.0,優しい,25.0
年,321,繰り返す,52.0,めざとい,1.0
越し,9,増える,42.0,細かい,13.0
多め,1,合わせる,36.0,痒い,2.0
備蓄,1,呼ぶ,79.0,ええ,27.0
かい,5,くれる,422.0,気持ち良い,3.0
山,17,守る,142.0,黒い,7.0
仕事,116,振るう,6.0,新しい,39.0
未経験,1,慮る,6.0,えげつない,8.0
手探り,2,向き合う,144.0,冷たい,6.0
大丈夫,111,求める,106.0,ものすごい,26.0
方法,46,こなす,9.0,欲しい,88.0
諸々,42,削ぐ,8.0,揺るぎない,6.0
検討,30,落とす,23.0,微笑ましい,5.0
一部,42,重なる,55.0,薄い,28.0
誰,206,かける,118.0,難しい,85.0
時間,112,払う,31.0,詳しい,7.0
詳細,21,越える,42.0,ばかばかしい,1.0
毎度,9,騙す,46.0,安い,14.0
見物,1,出す,341.0,つまらない,1.0
みなさん,26,踏みにじる,26.0,面白い,97.0
水,20,憤る,35.0,大人しい,16.0
烏賊,5,傷つく,18.0,図太い,2.0
さん,168,だす,62.0,格好よい,16.0
是非,11,ける,13.0,男らしい,14.0
即座,7,似る,25.0,等しい,11.0
方,612,投げる,27.0,力強い,9.0
子守,8,打つ,64.0,感慨深い,6.0
唄,1,捧げる,16.0,興味深い,17.0
今,348,見届ける,26.0,格好いい,18.0
